Short EMA,Long EMA,Performance
15,45,113.68094181201076
15,50,119.05942150889908
15,55,125.37082360854659
15,60,127.58798362616304
15,65,137.14533347636282
15,70,120.69189077375731
15,75,114.9352279804419
15,80,74.75389358406967
15,85,66.78600844112604
15,90,59.126092193973456
15,95,48.920611294853
15,100,113.59114429100742
15,105,-100.0
15,110,-100.0
15,115,-100.0
15,120,-100.0
15,125,-100.0
15,130,-100.0
15,135,-100.0
15,140,5040.098429351572
15,145,4970.498503986454
15,150,4950.117573119225
15,155,-100.0
15,160,-100.0
15,165,-100.0
15,170,-100.0
15,175,-100.0
15,180,-100.0
15,185,-100.0
15,190,-100.0
15,195,-100.0
20,45,119.38288179277959
20,50,127.70357358701072
20,55,130.97197515034637
20,60,127.58798362616304
20,65,160.7152311446523
20,70,114.96602248427419
20,75,111.37622483087526
20,80,75.34799279548284
20,85,66.81226442168072
20,90,58.903354347757556
20,95,48.920611294853
20,100,113.59114429100742
20,105,-100.0
20,110,-100.0
20,115,-100.0
20,120,5077.448399988237
20,125,4947.887877465527
20,130,5092.7629806484365
20,135,4920.853285843558
20,140,5040.098429351572
20,145,4970.498503986454
20,150,-100.0
20,155,-100.0
20,160,-100.0
20,165,-100.0
20,170,-100.0
20,175,-100.0
20,180,-100.0
20,185,-100.0
20,190,-100.0
20,195,-100.0
25,45,125.29991868413192
25,50,127.35361416481801
25,55,128.19153135761266
25,60,112.12078801106541
25,65,130.43543389477136
25,70,116.24541910435052
25,75,111.12580982053781
25,80,75.34799279548284
25,85,66.81226442168072
25,90,58.903354347757556
25,95,48.920611294853
25,100,114.26661585682172
25,105,5613.04439438032
25,110,5208.1792872398355
25,115,5065.966445925296
25,120,5077.448399988237
25,125,4947.887877465527
25,130,4997.285198434203
25,135,4618.244813346998
25,140,4780.793730083338
25,145,4737.006145693469
25,150,4707.9334798162245
25,155,4471.317265509186
25,160,4471.732171671449
25,165,12124.68155868191
25,170,11931.765559529164
25,175,-100.0
25,180,-100.0
25,185,-100.0
25,190,-100.0
25,195,-100.0
30,45,124.93430653297328
30,50,123.26474324749579
30,55,147.49739836220647
30,60,116.25210248990545
30,65,130.43543389477136
30,70,116.24541910435052
30,75,111.12580982053781
30,80,75.34799279548284
30,85,67.10135045739501
30,90,6301.205810678257
30,95,3099.230311847219
30,100,3057.6688879712165
30,105,3054.2248767827823
30,110,5149.242107125637
30,115,4961.09197188827
30,120,4968.341269093636
30,125,4803.520968383179
30,130,5007.2443078041215
30,135,4618.629179688571
30,140,4788.910572211548
30,145,4736.012560533756
30,150,4810.305527845279
30,155,12235.238850854432
30,160,12304.679787759433
30,165,11963.640091828955
30,170,11771.04950851424
30,175,-100.0
30,180,-100.0
30,185,-100.0
30,190,-100.0
30,195,-100.0
35,45,120.50428589826048
35,50,144.5133476060784
35,55,153.54167102933957
35,60,116.25210248990545
35,65,130.43543389477136
35,70,116.24541910435052
35,75,111.44774443043488
35,80,3346.8879931298816
35,85,3467.789508728029
35,90,3334.836245414783
35,95,3087.419986593099
35,100,3057.6688879712165
35,105,5450.61830085039
35,110,6393.843532986565
35,115,4801.124517126487
35,120,5181.690246379205
35,125,4846.280504969219
35,130,4958.248360290522
35,135,4617.8267949117935
35,140,8708.356305979782
35,145,8566.669337512853
35,150,8526.999054423695
35,155,8093.2416664346265
35,160,8130.739324605881
35,165,17819.236799077593
35,170,11769.856014184985
35,175,-100.0
35,180,-100.0
35,185,-100.0
35,190,-100.0
35,195,-100.0
40,45,164.30259598239329
40,50,147.01386737243217
40,55,153.54167102933957
40,60,116.25210248990545
40,65,131.22368868339618
40,70,114.60972780686838
40,75,3632.5999236264897
40,80,3346.2575233440843
40,85,3467.789508728029
40,90,3334.836245414783
40,95,3087.419986593099
40,100,6752.870939126862
40,105,4836.392544919063
40,110,4743.919999265805
40,115,4991.059826812911
40,120,5008.655916902793
40,125,6738.2448302853545
40,130,6859.122207732962
40,135,8716.384306816966
40,140,8707.152929452113
40,145,19156.50010637739
40,150,12888.50373196523
40,155,12230.124616528276
40,160,12303.947503912575
40,165,11963.396782560203
40,170,11769.856014184985
40,175,12188.375829678254
40,180,-100.0
40,185,-100.0
40,190,-100.0
40,195,-100.0
